material no.,description,bin no.,val.stock,max.price,value,uom,storage loc
6940,NEEDLE BEARING NK 40/20 INA,DC-NUT-RUN,0,,0,NOS,1060
6941,NEEDLE BEARING NK 18/20 INA,DC-NUT-RUN,0,,0,NOS,1060
6945,6AV66420BA011AX1 TOUCH PANEL TP177B,DC-NUT-RUN,0,,0,NOS,1060
8134,51106 SKF THRUST BEARING,DC-NUT-RUN,0,,0,NOS,1060
8348,MFH 5/3G-D-3-C DOUBLE SOL.VALVE 5/3 24V,DC-NUT-RUN,0,,0,NOS,1060
8947,16 PIN MOTOR CONNECTOR FOR GR-SPINDLE,DC-NUT-RUN,0,,0,NOS,1060
8948,SLIT-COUPLING FOR SERVO DRIVE BOTH AXES,DC-NUT-RUN,0,,0,NOS,1060
8980,LINEAR MOTION BEARING LME 30 UU,DC-NUT-RUN,2,,"3,975.88",NOS,1060
9011,4230219515 ETX CABLE 15 meter,DC-NUT-RUN,1,,"112,000.00",NOS,1060
9254,CVT RATING:5KVA I/P170-270VAC O/P 230VA,DC-NUT-RUN,0,,0,NOS,1060
9261,6159187465 SCREEN FOR  TWIN CVI,DC-NUT-RUN,0,,0,NOS,1060
9475,BEARING HSR-30R THK MAKE,DC-NUT-RUN,0,,0,NOS,1060
9761,16 PIN CABLE CONNECTOR FOR GR-SPINDLE,DC-NUT-RUN,0,,0,NOS,1060
9899,6153962070 ANGLE HEAD FOR ERA 200J,DC-NUT-RUN,0,,0,NOS,1060
20070,SPIRAL CABLE 4C X 1SQMM EXT LENGTH 6000,DELETED,0,,0,NOS,1060
20071,10082255 PIGNONE Z18 R2.722 PINION GEAR,DELETED,0,,0,NOS,1060
20072,10077235 GEAR Z49,DELETED,0,,0,NOS,1060
20073,10744501 VALVE LIFTER L94 V2SIC,DELETED,0,,0,NOS,1060
20074,91854000 ROLLER BEARING 40x90x23,DELETED,0,,0,NOS,1060
20075,73210384 GASKET MW-45 GEAR BOX,DELETED,0,,0,NOS,1060
20076,91859900 ROLLER BEARING 21311,DELETED,0,,0,NOS,1060
20077,90415000 O RING D 0.253x3.53,DELETED,0,,0,NOS,1060
20078,PG-21 PVC GLAND,DELETED,0,,0,NOS,1060
20079,SEAL KIT FOR HYD. CYLINDER 50x25x240MM,DELETED,0,,0,NOS,1060
20080,O-RING ID 16.1 C/S 1.6 MM NBR,DELETED,0,,0,NOS,1060
20081,O-RING ID 3.6 C/S 1 MM NBR,DELETED,0,,0,NOS,1060
20082,O-RING ID 18.4 C/S 1.78 MM NBR,DELETED,0,,0,NOS,1060
20083,O-RING ID 2.8 C/S 1.6 MM NBR,DELETED,0,,0,NOS,1060
20084,O-RING ID 23.5 C/S 1 MM NBR,DELETED,0,,0,NOS,1060
20085,O-RING ID 26.1 C/S 1.2 MM NBR,DELETED,0,,0,NOS,1060
20086,O-RING ID 17.5 C/S 1.3 MM NBR,DELETED,0,,0,NOS,1060
20087,O-RING ID 1.42 C/S 1.52 MM NBR,DELETED,0,,0,NOS,1060
20088,O-RING ID 17 C/S 2 MM NBR,DELETED,0,,0,NOS,1060
20089,O-RING ID 2 C/S 1.5 MM NBR,DELETED,0,,0,NOS,1060
20090,44780 SHUNT BLOCK 3024/3024D,DELETED,0,,0,NOS,1060
20091,39100 BLOCK FIXED ARM SHUNT 3154/3156/3,DELETED,0,,0,NOS,1060
20092,44752 MOVING ARM SHUNT BLOCK 3154/3154D,DELETED,0,,0,NOS,1060
20093,44775 PISTON SHAFT CROMIUM COPPER 3024/,DELETED,0,,0,NOS,1060
20094,44775-1 PISTON SHAFT CROMIUM COPPER 302,DELETED,0,,0,NOS,1060
20095,7638 DENT PULLING BRASS ROD W SLIDING H,DELETED,0,,0,NOS,1060
20096,7636 TRAINGULAR ELECTRODE HOLDER DENT P,DELETED,0,,0,NOS,1060
20097,GYRO BALLS,DELETED,0,,0,NOS,1060
20098,ROCKET BATTERY ES 42-12,DELETED,0,,0,NOS,1060
20099,TRANSFER TROLLEY SHAFT 50x1585MM,DELETED,0,,0,NOS,1060
20100,CF9.05.04.RW CHAINFLEX TPE CONTROL CABL,DELETED,0,,0,M,1060
20101,X.1026.6173 LENGTH MEASUR SYSTEM LC195F,DELETED,0,,0,NOS,1060
20102,BKM91PB BK MIKRO CONTROL UNIT,DELETED,0,,0,NOS,1060
20111,98394328 IMPELLER FOR CR45-3-A-F-A-V-HQ,DELETED,0,,0,NOS,1060
20112,98506306 PUMP SHAFT FOR CR45-3-A-F-A-V-,DELETED,0,,0,NOS,1060
20113,1113235 C4C-EC03530A SAFETY CURTAIN REC,DELETED,0,,0,NOS,1060
20114,1113226 C4C-SC03530A SAFETY CURTAIN SEN,DELETED,0,,0,NOS,1060
20115,3334400 RITTAL SK CHILLER 450X820X710MM,DELETED,0,,0,NOS,1060
20119,3RT2026-1BB40 AC-3 CONTACTOR 11KW,DELETED,0,,0,NOS,1060
20120,3RT2926-1BB00 VARISTOR 24-48 VDC,DELETED,0,,0,NOS,1060
20121,3RH2131-1BB40 CONTACTOR 3 NO/1 NC,DELETED,0,,0,NOS,1060
20123,3RH2911-1FA40 AUXILIARY SWITCH BLOCK 4N,DELETED,0,,0,NOS,1060
20124,3RV2421-4AA10 POWER CIRCUIT BREAKER,DELETED,0,,0,NOS,1060
20125,3RV2901-1E AUXILIARY SWITCH BLOCK 1 NC,DELETED,0,,0,NOS,1060
20126,3RH2911-1HA22 AUXILIARY SWITCH 2NO+2NC,DELETED,0,,0,NOS,1060
20127,3RT2015-1BB42 AC-3 CONTACTOR 3KW,DELETED,0,,0,NOS,1060
20128,3RV2411-1GA10 POWER CIRCUIT BREAKER,DELETED,0,,0,NOS,1060
20129,3RV2411-1DA10 POWER CIRCUIT BREAKER,DELETED,0,,0,NOS,1060
20130,3RV2411-0HA10 POWER CIRCUIT BREAKER,DELETED,0,,0,NOS,1060
20131,3RH2122-1BB40 CONTACTOR RELAY 2NO+2NC,DELETED,0,,0,NOS,1060
20132,MCB 5ST3010 AUXILIARY CONTACTOR BLOCK,DELETED,0,,0,NOS,1060
20133,AUXILIARY CONTACT BLOCK FOR CB3RV2901-1,DELETED,0,,0,NOS,1060
20134,SUPPORT ANGLE FOR BUSBAR,DELETED,0,,0,NOS,1060
20135,0122456 SUCTION CUP OCF30x90P.5R.G41M,DELETED,0,,0,NOS,1060
20136,L-TYPE BRACKET FOR CLAMPING,DELETED,0,,0,NOS,1060
20137,182642-1 ABS CABLE CONNECTOR,DELETED,0,,0,NOS,1060
20138,"6AV6643-0CD01-1AX1 HMI (MP277 10"")",DELETED,0,,0,NOS,1060
20139,3RK1904-2AB02 ASI PROGRAMMER,DELETED,0,,0,NOS,1060
20140,6SL3054-4AG00-2AA0 MEMORY CARD,DELETED,0,,0,NOS,1060
20141,6GK1901-1BE00-0AA0 RJ45 CONNECTOR,DELETED,0,,0,NOS,1060
20142,0034512 SHEILDED 12CX0.34 SQMM CABLE,DELETED,0,,0,M,1060
20143,AT5-255-14MM TIMING BELT,DELETED,0,,0,NOS,1060
20144,93011670 AIR CAP ASSY,DELETED,0,,0,NOS,1060
20145,TMS-015_WM001 LUBRICATED VACCUM PUMP,DELETED,0,,0,NOS,1060
20146,INLET FILTER_001 TYPE F 36 WITH PAPER,DELETED,0,,0,NOS,1060
20147,7159248-M12 HOSE ECO C GRIP 2 S/M,DELETED,0,,0,NOS,1060
20148,7158125 SPRING RETRIVAL SYSTEM,DELETED,0,,0,NOS,1060
20149,7159135 SCREW CONNECTIONS,DELETED,0,,0,NOS,1060
20152,LGA1150 ATX IMB w/VGA/2 DVI/2GbE/SATA3/,DELETED,0,,0,NOS,1060
20153,WIN 10 PROF 64 BIT,DELETED,0,,0,NOS,1060
20154,CPU ON SOCKET 1155P 4CORE i3-4th GEN,DELETED,0,,0,NOS,1060
20155,MEMORY MODULE 4G DDR3-1333 240PIN 256x8,DELETED,0,,0,NOS,1060
20156,2GB GRAPHICS CARD VGA+DVI+HDMI,DELETED,0,,0,NOS,1060
20157,3036505 FUSE MODULAR BLOCK ST4FSI/CLED2,DELETED,0,,0,NOS,1060
20158,FBS 4-8 Shorting Link 3030307,DELETED,0,,0,NOS,1060
20159,Thermal circuit breaker - TCP 3A 712233,DELETED,0,,0,NOS,1060
20162,"Terminal block-STTB 2,5-DIO/U-O 3031563",DELETED,0,,0,NOS,1060
20163,End clamp - CLIPFIX 35 3022218,DELETED,0,,0,NOS,1060
20164,TMCP SOCKET M 916589,DELETED,0,,0,NOS,1060
20165,UK 6-FSI/C-LED24 3001938,DELETED,0,,0,NOS,1060
20166,TMCP  M1 300 10A 915836,DELETED,0,,0,NOS,1060
20167,915810 TMCP 1 M1 300 6A CIRCUIT BREAKER,DELETED,0,,0,NOS,1060
20168,6682 OS-1/4 B OR GATE,DELETED,0,,0,NOS,1060
20169,2416371 LRP-1/8-6,DELETED,0,,0,NOS,1060
20172,8026209 VABB-B-10-25E,DELETED,0,,0,NOS,1060
20173,8031297 VMEF-S-M52-M-G18,DELETED,0,,0,NOS,1060
20174,8026263 VABM-B10-25S-G38-4,DELETED,0,,0,NOS,1060
20175,7199 HW-6-38,DELETED,0,,0,NOS,1060
20176,9199 VL-5-1/4,DELETED,0,,0,NOS,1060
20177,10192 SVS-4-1/8,DELETED,0,,0,NOS,1060
20178,8031295 VMEF-ST-M32-M-G18,DELETED,0,,0,NOS,1060
20179,X.1014.3186 BALL SCREW Z/X-ACHSE HUB 90,DELETED,0,,0,NOS,1060
20182,TOP UP GUN S.S.304,DELETED,0,,0,NOS,1060
20183,1100012032 PCB CONNECTOR RAIL MOUNT,DELETED,0,,0,NOS,1060
20184,EHS-24E ALARM HORN PATLITE,DELETED,0,,0,NOS,1060
20185,MH71100066  PUMP MTR 8KW 48V 0A 1800RPM,DELETED,0,,0,NOS,1060
20186,9121-EL15-M SERVO MODULE ROBOT SIDE,DELETED,0,,0,NOS,1060
20187,2513320 BAR CODE HOLDER BCB,DELETED,0,,0,NOS,1060
20188,POWER SUPPLY TRANSFORMER,DELETED,0,,0,NOS,1060
20190,EACOZ0200 CHILLER CONTROLLER UNIT,DELETED,0,,0,NOS,1060
20192,EACOZ0201 CHILLER CONTROLLER MAIN BA,DELETED,0,,0,NOS,1060
20193,EACOZ0202 CHILLER CONTROLLER EXPANSIO,DELETED,0,,0,NOS,1060
20194,EACOZ0203 CHILLER CONTROLLER LCD DISP,DELETED,0,,0,NOS,1060
20195,PCB CONNECTOR WITH FUSE,DELETED,0,,0,NOS,1060
20196,CONTROLLER NKCBD 20R-9-1230,DELETED,0,,0,NOS,1060
20197,52050100055 CONTROL WIRING HARNESS CBD2,DELETED,0,,0,NOS,1060
20198,1000134001 MICRO SWITCH HANDLE,DELETED,0,,0,NOS,1060
20199,2240434001 EMERGENCY STOP,DELETED,0,,0,NOS,1060
20200,NKCBD20R-15ELLOCK ELECTRIC LOCK,DELETED,0,,0,NOS,1060
20201,30910000017 CURTIS HANDLE CBD20R II,DELETED,0,,0,NOS,1060
20202,CBD20R BATTERY BOX COVER,DELETED,0,,0,NOS,1060
20203,IMIDC/20 CONNECTOR AGV,DELETED,0,,0,NOS,1060
20204,72037145 CONTROLLER BRUCKE DC16/25,DELETED,0,,0,NOS,1060
20205,72037745 CONTROL TRANSFORMER N400/10/20,DELETED,0,,0,NOS,1060
20206,235634 KRC4 SMALLSIZE CCUsr COMPLETE,DELETED,0,,0,NOS,1060
20207,6SL3210-1PE28-8UL0 POWER MODULE PM240-2,DELETED,0,,0,NOS,1060
20208,6926D-50-002 AMF HYDRAULIC CYLINDER,DELETED,0,,0,NOS,1060
20209,LKA0750-CC KOOSMEK HYDRAULIC CYLINDER,DELETED,0,,0,NOS,1060
20210,LKA0650-CC KOOSMEK HYDRAULIC CYLINDER,DELETED,0,,0,NOS,1060
20211,LHA0750-CL-Y60 KOOSMEK HYDRAULIC CYLIND,DELETED,0,,0,NOS,1060
20212,LHA0750-CC-Y60 KOOSMEK HYDRAULIC CYLIND,DELETED,0,,0,NOS,1060
20213,LHA0750-CL KOOSMEK HYDRAULIC CYLINDER,DELETED,0,,0,NOS,1060
20214,6926-32-002-006 AMF HYDRAULIC CYLINDER,DELETED,0,,0,NOS,1060
20215,LKE0480-CR KOOSMEK HYDRAULIC CYLINDER,DELETED,0,,0,NOS,1060
20216,6926D-50-001 AMF HYDRAULIC CYLINDER,DELETED,0,,0,NOS,1060
20217,SSD 250GB,DELETED,0,,0,NOS,1060
20218,ALL SIM WI FI ROUTER,DELETED,0,,0,NOS,1060
20219,WIRELESS USB ADAPTOR,DELETED,0,,0,NOS,1060
20220,USB DRIVE 32GB,DELETED,0,,0,NOS,1060
20221,HINDUSTAN MOTOR 1/4HP 920 RPM,DELETED,0,,0,NOS,1060
20222,1LA0 166-8YB81 CRANKER MOTOR 7.5KW 160L,DELETED,0,,0,NOS,1060
20223,SS316 SHAFT FOR CPK C 50/315 KSB PUMP,DELETED,0,,0,NOS,1060
20224,MARKER CABLE ASSYEMBLY 15M FOR TMP3200,DELETED,0,,0,NOS,1060
20225,VGA MULTIPLIER ML104VGA,DELETED,0,,0,NOS,1060
20226,"HYDRAULIC BALL VALVE 1/4""BSP  500 BAR",DELETED,0,,0,NOS,1060
20227,WHEEL 100136905,DELETED,0,,0,NOS,1060
20228,4M7501793 CONTACTING SOCKET COMPLETE L,DELETED,0,,0,NOS,1060
20229,4M7501792 CONTACTING SOCKET COMPLETE R,DELETED,0,,0,NOS,1060
20230,100105573 ECCENTRIC LEVER,DELETED,0,,0,NOS,1060
20231,100105575 ECCENTRIC LEVER,DELETED,0,,0,NOS,1060
20232,HTD14M-1512 TIMING BELT,DELETED,0,,0,NOS,1060
20233,HTD 2048-8M TIMING BELT,DELETED,0,,0,NOS,1060
20234,1616-8YU TIMING BELT,DELETED,0,,0,NOS,1060
20235,94496601 PLUNGER PISTON,DELETED,0,,0,NOS,1060
20236,94466630 ROD PACKING,DELETED,0,,0,SET,1060
20237,13621122 WIRED PIN INS. DR71-100BE AS.8,DELETED,0,,0,NOS,1060
20238,SFG-002118 SPOOL ASSEMBLY 8MM,DELETED,0,,0,NOS,1060
20239,TOOL MANAGEMENT BREAKDOWN BOOK,DELETED,0,,0,NOS,1060
20240,7024239 CARD-NIC ADAPTER STARTECH ST,DELETED,0,,0,NOS,1060
20241,107548 PERMA STAR VARIO DRIVE,DELETED,0,,0,NOS,1060
20242,1SE0106-4NA86 SIEMENS MOTOR 2.2KW1440RP,DELETED,0,,0,NOS,1060
20243,SEA PUMP SEA-150 1.1KW 2850RPM 150LPM,DELETED,0,,0,NOS,1060
20244,CPU 1769-L18ER-BB1B ALLEN BRADLEY,DELETED,0,,0,NOS,1060
20245,6SL3210-1PE32-1UL0 POWER MODULE 110KW,DELETED,0,,0,NOS,1060
20246,403S3K136 TERMINAL,DELETED,0,,0,NOS,1060
20247,403S3K2126 TERMINAL,DELETED,0,,0,NOS,1060
20248,403S3K3995 TERMINAL,DELETED,0,,0,NOS,1060
20249,403S3K4410 TERMINAL,DELETED,0,,0,NOS,1060
20250,SAS-63-BB30 FRONT WHEEL AGV L1,DELETED,0,,0,NOS,1060
20251,AGV DRIVE WHEEL 270x210x100,DELETED,0,,0,NOS,1060
20252,VXA3244-03 DIRECT AIR OPERATED VALVE,DELETED,0,,0,NOS,1060
20253,"20"" FAN BLADE FOR CHILLER XAC2S-024MAR2",DELETED,0,,0,NOS,1060
20254,"36"" FAN BLADE FOR CHILLER XACYS2080AR2",DELETED,0,,0,NOS,1060
20255,SK0053 SEAL KIT DIA 50,DELETED,0,,0,NOS,1060
20256,LT8023 LEVEL SWITCH,DELETED,0,,0,NOS,1060
20257,PN2270 PRESSURE SWITCH,DELETED,0,,0,NOS,1060
20258,AL2401 IO-LINK INPUT MODULE,DELETED,0,,0,NOS,1060
20259,SA5000 FLOW SENSOR,DELETED,0,,0,NOS,1060
20260,EBC113 CABLE CONNECTOR,DELETED,0,,0,NOS,1060
20261,OGE100 PHOTO SENSOR,DELETED,0,,0,NOS,1060
20262,SMC INA-14-47-04 CHECK VALVE TEMP,DELETED,0,,0,NOS,1060
20263,LIMIT SWITCH BODY ZCKJ1,DELETED,0,,0,NOS,1060
20264,PNEUMATIC CYLINDER DIA 100MM DANCAL,DELETED,0,,0,NOS,1060
20265,HEX BOLT M12X75X1.75,DELETED,0,,0,NOS,1060
20266,SOLENOID VALVE VXD2140-04F-5DZ1,DELETED,0,,0,NOS,1060
20267,3300099 WIRE ROPE D 12.5 sZ GALVANIZED,DELETED,0,,0,NOS,1060
20268,4 WAY MS JUNCTION BOX,DELETED,0,,0,NOS,1060
20269,6MM MS STRIP & ANGLE,DELETED,0,,0,KG,1060
20271,9007991 AEM HORIZONTAL TURN R1500x 45°,DELETED,0,,0,NOS,1060
20272,8 CORE x 1 SQ.MM PVC FLEXIBLE CABLE,DELETED,0,,0,M,1060
20273,10 CORE x 1 SQ.MM PVC FLEXIBLE CABLE,DELETED,0,,0,M,1060
20274,3 CORE x 2.5 SQ.MM PVC FLEXIBLE CABLE,DELETED,0,,0,M,1060
20275,5 CORE x 2.5 SQ.MM PVC FLEXIBLE CABLE,DELETED,0,,0,M,1060
20276,FILTER ELEMENT 060 DN 050 W/HC,DELETED,0,,0,NOS,1060
20277,DIFF. PRESSURE SWITCH VD2.5 D.0/W-L24,DELETED,0,,0,NOS,1060
20278,CX06-2/2FC10/064/034PV24VM12DRHT VALVE,DELETED,0,,0,NOS,1060
20279,SBM 450+001 BRINKMANN PUMP WITH MOTOR,DELETED,0,,0,NOS,1060
20280,OIL MIST FILTER PAD N.1 OF GALILEO G100,DELETED,0,,0,NOS,1060
20281,SEAL FOR SPRAY PUMP CR3-36-A-FGJ-K-VHQQ,DELETED,0,,0,NOS,1060
20282,DRY FOG HUMIDIFIER - SPARE PARTS,DELETED,0,,0,SET,1060
20283,SEAL FOR RECIRCULATION PUMP CR5-6AFGJKV,DELETED,0,,0,NOS,1060
20284,10784023 OIL HOLE ADAPTER,DELETED,0,,0,NOS,1060
20285,X077583500 LANCE,DELETED,0,,0,NOS,1060
20286,ENCLOSURE BOX 150x150x80 MM,DELETED,0,,0,NOS,1060
20287,ENCLOSURE BOX 200x200x150 MM,DELETED,0,,0,NOS,1060
20288,ENCLOSURE BOX 200x300x150 MM,DELETED,0,,0,NOS,1060
20289,MB01189020004 LEVEL SWITCH CCU FGSOE13D,DELETED,0,,0,NOS,1060
20290,MB02107000002 LEVEL SWITCH FCU FGSOE13D,DELETED,0,,0,NOS,1060
20310,TOP UP GUN S.S.304,DELETED,0,,0,NOS,1060
TC914,Socket 32x1x130,DELETED,0,,0,NOS,1060
TC915,Socket 32x1x70,DELETED,0,,0,NOS,1060
TC916,Socket 24x1x140,DELETED,0,,0,NOS,1060
TC917,EXTENSION SOCKET 14x1/2x550,DELETED,0,,0,NOS,1060
TC919,TOOL TROLLEY TTB-7,DELETED,0,,0,NOS,1060
TC920,AIR BLOWER SPT-500,DELETED,0,,0,NOS,1060
465,LIMIT SWITCH 335-11ZG24-M20 SCHMERSAL,DEMAG,1,,"4,312.00",NOS,1060
825,71798033 HOOK FITTING SET DC 1/2,DEMAG,1,,"27,435.00",NOS,1060
100328,03447066 MOTOR M50AK50050 VOLT415,DEMAG,0,,0,NOS,1060
100329,77219244 CONTROLLER DSKSP2,DEMAG,0,,0,NOS,1060
100341,87658344 CURR.COLLECT CARRIAGE DCL,DEMAG,0,,0,NOS,1060
100342,DEMAG CHAIN HOIST WITH TROLLEY,DEMAG,0,,0,NOS,1060
100343,DEMAG CHAIN HOIST WITHOUT TROLLEY,DEMAG,0,,0,NOS,1060
100344,"DEMAG DRIVE WHEEL BLOCKS, MODEL-",DEMAG,0,,0,NOS,1060
100346,DEMAG RS WHEEL,DEMAG,0,,0,NOS,1060
100347,DEMATIC CHAIN HOIST WITH MOTOR,DEMAG,0,,0,NOS,1060
100349,DEMATIC CHAIN HOIST WITHOUT TROLLEY,DEMAG,0,,0,NOS,1060
100351,DEMATIC MOTORIZED TROLLEY,DEMAG,0,,0,NOS,1060
100426,77306033 CONTROL CARD (UNIVERSAL),DEMAG,1,,"52,250.00",NOS,1060
100464,MOTORIZED ARTICULATED TROLLEY,DEMAG,0,,0,NOS,1060
100576,ROPE GUIDE FOR DEMATIC WIRE ROPE,DEMAG,0,,0,NOS,1060
10135,DMK1 125 KG  SHOE DMK150370,DEMAG,0,,0,NOS,1060
10141,MOTOR END COVER (DMK2) DMK250370,DEMAG,0,,0,NOS,1060
10308,71588033 LIMIT SWITCH,DEMAG,1,,"11,400.00",NOS,1060
10422,71659533 PCB E11 3-230-460V (CT MOTOR),DEMAG,1,,"55,158.01",NOS,1060
10439,71795133 CHAIN GUIDE SET DC 1&2 8M,DEMAG,3,,"185,616.51",NOS,1060
11254,71536145 GEARED LIMIT SWITCH DC-10-4,DEMAG,1,,"83,300.00",NOS,1060
11722,70196133 WIRE ROPE SET DR 3 H12 4/1,DEMAG,1,,"38,916.00",NOS,1060
11723,70080233 ROPE GUIDE LEFT SET DR 3/7,DEMAG,1,,"68,586.48",NOS,1060
12691,98239544 BUFFER STOP KBK II,DEMAG,8,,"8,200.80",NOS,1060
12912,85849044 TRAVEL UNIT 270 KBK II,DEMAG,3,,"89,721.00",NOS,1060
14317,72715431 END SHIELD 16DC BAS 5/10,DEMAG,1,,"17,572.60",NOS,1060
14318,75228133 CHAIN SET DK 2/PK 1L=7.0 M,DEMAG,0,,0,NOS,1060
14388,71585033 FAN SET ZNK 100A,DEMAG,2,,"20,196.20",NOS,1060
14430,77228045 CONTROL SYSTEM POLU-BOX DC,DEMAG,1,,"40,290.00",NOS,1060
14470,77207345 CONTROL CABLE 10POL 1.5M (RJ45,DEMAG,0,,0,NOS,1060
14471,72570531 ROTOR 13/3B RU/EU 11 BAS TROLL,DEMAG,0,,0,NOS,1060
14685,GEAR BOX FOR DCPRO 10-1000-2X1/1 H8V12/,DEMAG,0,,0,NOS,1060
14698,71695133 MOTOR E22-C,DEMAG,1,,"83,553.00",NOS,1060
14699,98436044 TROLLY  KBK II TELESCOPIC TYPE,DEMAG,0,,0,NOS,1060
14864,71017066 HEARTING CONNECTOR FOR DC HOIS,DEMAG,0,,0,NOS,1060
14865,71017266 CONTROL CABLE MOUNTING SET STV,DEMAG,2,,"3,240.00",NOS,1060
14866,PKF MOTOR WITH TROLLEY,DEMAG,1,,"115,655.00",NOS,1060
14867,85824544 EKBK RF 125 TROLLEY FOR E22 TR,DEMAG,1,,"34,018.00",NOS,1060
15000,"56379331 PRESSURE SPRING 1,8X25 , 8X84",DEMAG,0,,0,NOS,1060
15124,71303033 LOWER BLOCK ASSEMBLY 3.2 TON,DEMAG,1,,"111,400.00",NOS,1060
15125,75263833 CHAIN SET DC10 1/1 H8,DEMAG,1,,"110,510.00",NOS,1060
15135,75260233 GEAR OIL SET DC-5,DEMAG,0,,0,SET,1060
15136,75263233 SEAL SET DC-5,DEMAG,0,,0,SET,1060
16782,98223666 KBK II 7000 MM LONG PAINTED,DEMAG,2,,"131,040.00",NOS,1060
16802,84011444 UNIVERSAL TRAVEL WHEEL EU22,DEMAG,1,,"66,663.52",NOS,1060
16805,RELAY 10A 24VDC 44.92.9.024 FINDER,DEMAG,0,,0,NOS,1060
16910,66502044 ROPE LUBRICANT,DEMAG,0,,0,NOS,1060
16911,75263933 CHAIN SET DC 10.5m 2/1,DEMAG,3,,"367,209.00",NOS,1060
16912,"75115346 CHAIN 7,4 X 21,2",DEMAG,88,,"907,280.00",M,1060
16974,71825345 BUFFER  DC-PRO 500KG HOOK SIDE,DEMAG,4,,"6,524.00",NOS,1060
16975,71526045 SWITCH-OFF SPRING DC 10 V 6,DEMAG,1,,"1,107.00",NOS,1060
16976,75227433 CHAIN SET DK1 L=8M,DEMAG,0,,0,NOS,1060
16977,83474033 HOOK FITTING SET DK1,DEMAG,0,,0,NOS,1060
17122,71897433 SUSPENSION SET DC-15,DEMAG,0,,0,NOS,1060
17123,71892133 ELECTRICAL COVER SET DC-5,DEMAG,4,,"109,900.00",NOS,1060
17124,71592133 ELECTRICAL COVER SET DC-10,DEMAG,1,,"26,025.00",NOS,1060
17125,71592033 SERVICE COVER SET DC-10,DEMAG,0,,0,NOS,1060
17395,75263133 SEAL SET DC1/2,DEMAG,1,,"8,103.00",NOS,1060
17432,75244033 BOTTOM BLOCK SET DC10 2/1,DEMAG,1,,"98,256.00",NOS,1060
17600,SAFETY CLAMP LATCH TYPE,DEMAG,0,,0,NOS,1060
17616,71894733 ADJUSTMENT NUT/PULSE WHEEL,DEMAG,0,,0,NOS,1060
17661,71659633 CONTROL SET E22-C,DEMAG,0,,0,NOS,1060
17812,83565033 LOAD HOOK DC PRO 1/2,DEMAG,1,,"16,458.00",NOS,1060
17963,72007045 CONTROL CABLE DC - E11/22,DEMAG,3,,"12,906.99",NOS,1060
18724,47074133 UNIT IMP RS422-30V SET,DEMAG,1,,"28,202.00",NOS,1060
18725,71592033 SERVICE HOOD SET DC10,DEMAG,2,,"12,248.00",NOS,1060
19209,40.52.9.024.0000 RELAY 10A 250V 24VDC,DEMAG,5,,"1,050.00",NOS,1060
19589,HOOK SAFETY CATCH SET FOR DC PRO 10-200,DEMAG,0,,0,NOS,1060
19723,70059033 THRUST ROCKER,DEMAG,0,,0,NOS,1060
19851,PIN WITH BO CLIP KBK-I,DEMAG,8,,"9,600.00",NOS,1060
19938,HELICOIL SET 6x1,DEMAG,0,,0,SET,1060
19939,HELICOIL SET 8x1.25,DEMAG,0,,0,SET,1060
21409,84129033 FRICTION WHEEL DRF200-HYP 73B,DEMAG,0,,0,NOS,1060
21410,70197633 SUPP ROLL S DR 3,DEMAG,1,,"25,200.00",NOS,1060
21520,98032244 DOUBLE TROLLEY KBK I,DEMAG,0,,0,NOS,1060
21614,71695045 TRAVEL DRIVE E-22-C,DEMAG,0,,0,NOS,1060
21615,85153344 MOUNTING PLATE RF125 KPL,DEMAG,1,,"2,081.25",NOS,1060
21616,85835044 DISENG MECHAN DISENGAING MECHE,DEMAG,0,,0,NOS,1060
21617,85837544 BRACKLET LCS-SC-X-BUFF-ASM-CPL,DEMAG,0,,0,NOS,1060
21618,85867744 SPACER 470 KPL,DEMAG,0,,0,NOS,1060
21619,98237844 BRACKET LCS-SC-X BUFF-ACM-CPL,DEMAG,1,,"5,688.75",NOS,1060
21746,40.62.9.024.0000 RELAY 10A 250V 24VDC,DEMAG,0,,0,NOS,1060
2197,ADD ON CARD FOR DC PRO HOIST,DEMAG,0,,0,NOS,1060
2342,71836145 GEARED LIMIT SWITCH DC5-4,DEMAG,2,,"139,269.98",NOS,1060
2348,71785033 FAN COVER FOR DC PRO 125 KG,DEMAG,1,,"7,832.00",NOS,1060
2350,71948533 LT PCB CARD DR-3-10 STUFG,DEMAG,1,,"208,743.27",NOS,1060
2352,77360133 PENDENT CONTROLLER  DSE 10-R 2,DEMAG,1,,"88,308.00",NOS,1060
2353,71999533 CT INVERTER DIC-4-002-C-0003-0,DEMAG,1,,"153,936.88",NOS,1060
2354,87669644 FUNNEL DCLRE 5-100,DEMAG,0,,0,NOS,1060
2357,87670144 FUNNEL DCLI 5-100,DEMAG,0,,0,NOS,1060
3557,SPRING BALANCER TYPE:9342 TECNA MAKE,DEMAG,0,,0,NOS,1060
4710,71587133 BRAKE SET 180V DC 10,DEMAG,2,,"99,892.00",NOS,1060
4712,77206133 CONTROL SET 400V  DC 10,DEMAG,0,,0,NOS,1060
5367,71595333 BUFFER SET DC 10,DEMAG,0,,0,NOS,1060
5580,HOOK SAFETY CATCH SET FOR DC PRO 1-125,DEMAG,0,,0,NOS,1060
6053,HOOK SAFETY CATCH SET FOR DC PRO 2-250,DEMAG,18,,"54,855.18",NOS,1060
